Título (Português);Instituição;Cidade Instituição;Empresa;Município;Local de Pesquisa;Grande Área do Conhecimento;Área do Conhecimento;Subárea do Conhecimento;Assuntos;
Inovação tecnológica de instrumento médico na área de endoscopia: proposta de um novo modelo de pinça de biopsia endoscópica;;;Fleximedical Indústria e Comércio de Equipamentos Médicos Ltda;São Paulo;;Engenharias;Engenharia Biomédica;;Usinagem química:Estampagem:Endoscopia:Equipamentos e provisões hospitalares; 
Coatings nanoestruturados transparentes aplicados a materiais vítreos;;;Nanox Tecnologia S/A;São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Nanopartículas:Óxidos:Materiais cerâmicos:Vitrocerâmica; 
Desenvolvimento de equipamento gerador de peróxido de hidrogênio;;;Misque Industrial Sistemas de Reuso Ltda;São Bernardo do Campo;;Engenharias;Engenharia Química;;Eletrodos:Vácuo:Água:Peróxidos:Peróxido de hidrogênio:Geradores de energia; 
Uso eficiente da água em packing house de batata: redução do volume no processo de limpeza, tratamento do efluente e reuso;;;Associação Brasileira de Batata (ABBA);Itapetininga;;Ciências Agrárias;Engenharia Agrícola;Engenharia de Água e Solo;Impactos ambientais:Pós-colheita:Raízes e tubérculos alimentícios:Consumo de água:Águas residuárias:Água:Batata; 
"Inovação em selante/adesivo/vedante de silicone copolimerizado """"premium""""";;;;;;Engenharias;Engenharia Química;Tecnologia Química;Inovações tecnológicas:Selantes (materiais):Adesivos:Silicone:Copolímeros:Polietilenoglicóis:Poliuretanos; 
Desenvolvimento de software para gerenciamento pecuário;;;;;;Ciências Agrárias;Medicina Veterinária;;Bovinos:Administração agrícola:Agropecuária:Desenvolvimento de software; 
Módulo rotâmetro eletrônico para mistura de gases medicinais;;;;;;Engenharias;Engenharia Biomédica;;Rotâmetros:Equipamentos e provisões:Equipamentos de medição:Válvulas reguladoras de pressão:Gases; 
Medidor de distorção ótica em vidros temperados/blindados;;;;;;Engenharias;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação;Óptica:Equipamentos de medição:Vidro temperado:Câmeras de vídeo; 
Equipamento para a inspeção de poços profundos;;;;;;Engenharias;Engenharia Elétrica;Telecomunicações;Inspeção de poços:Técnicas, medidas, equipamentos de medição:Investigação por sondagem:Protocolos de comunicação; 
Projeto válvula reguladora de pressão para hospitais;;;;;;Engenharias;Engenharia Biomédica;;Equipamentos e provisões hospitalares:Válvulas reguladoras de pressão:Hospitais; 
Uso eficiente de água em packing house de batata: redução do volume no processo de limpeza, tratamento do efluente e reuso;;;;;;Ciências Agrárias;Engenharia Agrícola;Engenharia de Água e Solo;Águas residuárias:Consumo de água:Impactos ambientais:Pós-colheita:Batata; 
Tintas inovadoras para aplicação IMD: novas possibilidades para indústrias automobilísticas, de telecomunicações e eletrônicas;;;;;;Engenharias;Engenharia Química;Tecnologia Química;Serigrafia:Tintas; 
Agregação de valor aos derivados da magnesita;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Magnesita:Lixiviação:Hidrólise; 
Biochip micro e nano fabricado para liberação controlada de fatores de crescimento para regeneração óssea;;;Nanobionics Biotecnologia e Bioengenharia Ltda;São Paulo;;Engenharias;Engenharia de Materiais e Metalúrgica;;Nanotecnologia:Microfabricação:Engenharia tecidual:Biomateriais:Regeneração óssea:Sistemas de liberação de medicamentos; 
Desenvolvimento de uma impressora de codificação à jato contínuo de tinta;;;Almeida & Copeliovitch Engenharia Ltda;Santana de Parnaíba;;Engenharias;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos;Desenvolvimento de produtos:Impressora:Tintas para impressão; 
Agregação de valor aos derivados da magnesita;;;QM Química de Materiais;Campinas;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Materiais compósitos:Polímeros (materiais):Hidróxido de magnésio; 
Tintas inovadoras para aplicação IMD: novas possibilidades para indústrias automobilísticas, de telecomunicações e eletrônicas;;;Cotec Tintas Serigráficas Ltda. - EPP;São José dos Campos;;Engenharias;Engenharia Química;Tecnologia Química;Indústria automobilística:Telecomunicações:Indústria eletrônica:Serigrafia:Tintas; 
Sistema de roteamento automático de chamadas interurbanas ao menor custo;;;;;;Engenharias;Engenharia Elétrica;Telecomunicações;Banco de dados:Redução de custos:Telefone:Engenharia de hardware:Arquitetura de software; 
Biochip micro e nano fabricado para liberação controlada de fatores de crescimento para regeneração óssea;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;;Dispositivos lab-on-a-chip:Sistemas de liberação de medicamentos:Fatores de crescimento:Regeneração óssea:Terapia genética:Microtecnologia:Nanotecnologia:Engenharia tecidual; 
Sistema de roteamento automático de chamadas interurbanas ao menor custo;;;Econolig Tecnologia Ltda;São Paulo;;Engenharias;Engenharia Elétrica;Telecomunicações;Banco de dados:Servidores de rede:Telefonia:Redução de custos; 
Interface gráfica para sistema de análise e modelagem de sinais biomédicos;;;Precisionweb Informática Ltda;Santana de Parnaíba;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Sistemas complexos:Análise de dados:Algoritmos; 
Processo, reatividade, estrutura e análise químico teórica: caracterização dos isômeros de c2f2cl2 e de Piper solmsianum;Universidade de São Paulo (USP). Instituto de Química (IQ);São Paulo;;;;Ciências Exatas e da Terra;Química;Físico-química;Métodos ab initio:Isômeros conformacionais:Estrutura eletrônica:Reatividade química:Piper; 
Radiotelemetria terrestre com codificação digital;;;;;;Ciências Biológicas;Ecologia;Ecologia Aplicada;Telemetria:Codificação:VHF:Fauna:Monitoramento ambiental; 
Síntese e biossíntese de amidas piperidínicas: determinação da atividade da enzima oxidoredutase do tipo citocromo P450 em Piper tuberculatum;Universidade Estadual Paulista (UNESP). Campus de Araraquara. Instituto de Química (IQ);Araraquara;;;;Ciências Exatas e da Terra;Química;Química Orgânica;Piperaceae; 
Ferramentas de software para melhoramento genético de bovinos de corte;;;Scylla Informática S/A;Campinas;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Arquitetura de software:Melhoramento genético animal:Bovinos de corte; 
Ésteres metílicos e etílicos do ácido fumárico para o tratamento de psoríase;;;Orghan Brasil Nutracêutica Ltda;São Paulo;;Engenharias;Engenharia Química;;Ácidos:Psoríase:Diester fosfórico hidrolases :Monoester fosfórico hidrolases; 
Desenvolvimento metodológico e tecnológico em scout esportivo;;;Matchreport Comércio e Desenvolvimento de Software Ltda;Campinas;;Ciências da Saúde;Educação Física;;Treinamento esportivo:Modalidades esportivas:Desempenho atlético:Softwares:Análise de dados; 
Sistema de informação e gestão da qualidade de fornecimento de energia elétrica;;;Expertec Serviços e Desenvolvimento Tecnológico Ltda (EXPERTEC);Campinas;;Engenharias;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos;Gestão de qualidade:Sistemas de informação:Distribuição de energia elétrica; 
Radiotelemetria terrestre com codificação digital;;;Marco Antonio Marques de Souza - EPP;São Paulo;;Ciências Biológicas;Ecologia;Ecologia Aplicada;Monitoramento ambiental:Telemetria:Fauna:Animais silvestres; 
Inovação na engenharia de tecidos através de estruturas biomédicas micro/nanofabricadas;;;Nanobionics Biotecnologia e Bioengenharia Ltda;São Paulo;;Engenharias;Engenharia Biomédica;Engenharia Médica;Engenharia tecidual:Terapêutica:Proteínas:Fatores de crescimento; 
Inovação na Engenharia de tecidos através de estruturas biomédicas micro/nanofabricadas;;;;;;Engenharias;Engenharia Biomédica;Engenharia Médica;Engenharia tecidual:Cápsulas:Fatores de crescimento:Terapia baseada em transplante de células e tecidos; 
Sistema de informação e gestão da qualidade do fornecimento de energia elétrica;;;;;;Engenharias;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos;Sistemas de informação:Gestão de qualidade:Energia elétrica:Plataforma (computação); 
Ésteres metílicos e etílicos do ácido fumárico para o tratamento de psoríase;;;;;;Engenharias;Engenharia Química;Processos Industriais de Engenharia Química;Fumaricum Acidum:Compostos orgânicos:Psoríase; 
Desenvolvimento metodológico e tecnológico em scout esportivo;;;;;;Ciências da Saúde;Educação Física;;Softwares:Tecnologia:Esportes; 
Desenvolvimento de ativos fotoestáveis para proteção solar;;;WSGB Laboratórios Ltda;São Carlos;;Ciências Exatas e da Terra;Química;;Dermatologia:Protetores solares:Processo sol-gel:Dióxido de titânio:Emulsões cosméticas; 
Desenvolvimento de ativos fotoestáveis para proteção solar;;;;;;Ciências Exatas e da Terra;Química;;Dióxido de titânio:Cosméticos:Protetores solares:Desenvolvimento de produtos; 
Desenvolvimento de sacarímetro/polarímetro laser;;;;;;Ciências Exatas e da Terra;Química;Química Analítica;Desenvolvimento de produtos:Equipamentos de medição:Óptica:Laser:Açúcar; 
Projeto helicóptero experimental de dois lugares;;;;;;Engenharias;Engenharia Aeroespacial;;Helicópteros:CAD/CAM:Protótipo:Rotor:Integração de tecnologias; 
Projeto e construção de um quiosque inteligente de auto-atendimento para demonstração, adaptação e comercialização de óculos on-line;;;Opto Médica Equipamentos Ltda;São Carlos;;Ciências Exatas e da Terra;Física;Física da Matéria Condensada;Óculos; 
Projeto helicóptero experimental de dois lugares;;;Brascopter Projetos e Serviços Aeronáuticos e Mecânicos Ltda;São Caetano do Sul;;Engenharias;Engenharia Aeroespacial;;Engenharia aeronáutica:Integração de tecnologias:Sistemas aeroespaciais:Helicópteros; 
Protetor de redes de baixa tensão inteligente com função de monitoramento integrada;;;Futura Soluções em Automação e Engenharia Ltda;São Paulo;;Engenharias;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos;Energia elétrica:Geração de energia elétrica:Transmissão de energia elétrica:Distribuição de energia elétrica:Sistemas de informação; 
Gestorpsi - método de gestão de serviços em psicologia clínica;;;Instituto de Psicologia Comportamental de São Carlos (IPC);São Carlos;;Ciências Humanas;Psicologia;;Psicologia clínica:Clínicas de saúde:Gestão da informação:Gestão da informação em saúde; 
Sistema de automatização da contagem de microrganismos em alimentos fluidos;;;Suma Indústria e Comércio Ltda;Campinas;;Ciências Biológicas;Microbiologia;;Microbiologia de alimentos:Contaminação de alimentos:Processos de contagem:Micro-organismos:Alimentos:Leite; 
Desenvolvimento de sacarímetro/polarímetro laser;;;Tech Chrom Instrumentos Analíticos Ltda. - ME;Campinas;;Ciências Exatas e da Terra;Química;Química Analítica;Sacarose:Infravermelho:Laser:Indústria sucro-alcooleira; 
Sistema inteligente de vigilância por vídeo - SIV;;;Ray Sistemas Inovadores Ltda. - EPP;São José dos Campos;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Banco de dados:Visão computacional:Sistemas distribuídos; 
Adesivo termoreativo poliuretânico sem solvente;;;Zero Defeito Produtos e Serviços Ltda;Santana de Parnaíba;;Engenharias;Engenharia Química;Tecnologia Química;Ácidos dicarboxílicos:Laminação; 
Microcâmera conjugada a iluminador cirúrgico frontal;;;;;;Engenharias;Engenharia de Produção;Engenharia do Produto;Fibra óptica:Desenvolvimento de software:Câmeras de vídeo:Iluminação:Equipamentos e provisões elétricas; 
GestorPsi: método de gestão de serviços em psicologia clínica;;;;;;Ciências Humanas;Psicologia;;Psicologia clínica:Administração de serviços de saúde:Análise de dados; 
Software de gestão estratégica do conhecimento;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Softwares:Administração estratégica:Gestão do conhecimento:Tecnologia da informação; 
Origem biossintética e aspectos evolutivos de metabólitos secundários de angiopermas basais;Universidade de São Paulo (USP). Instituto de Química (IQ);São Paulo;;;;Ciências Exatas e da Terra;Química;Química Orgânica;Evolução molecular:Piperaceae:Piperales:Filogenia:Metabolômica; 
Desenvolvimento de novos correlatores ópticos operando com iluminação incoerente para a detecção de padrões e objetos em ambientes industriais;;;;;;Engenharias;Engenharia Elétrica;Materiais Elétricos;Holografia:Óptica:Difração da luz; 
Desenvolvimento de kits de diagnóstico para Hantavirose;;;;;;Ciências Biológicas;Bioquímica;Biologia Molecular;Técnicas de diagnóstico molecular:DNA recombinante:Hantavirus:Ensaio de imunoadsorção enzimática; 
Análise de viabilidade técnica do sistema construtivo modular em madeira de rejeito comercial de serrarias;;;;;;Ciências Sociais Aplicadas;Arquitetura e Urbanismo;Tecnologia de Arquitetura e Urbanismo;Madeira:Serrarias:Habitação:Construção civil:Tratamento de resíduos; 
Novogesso;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Gesso:Habitação:Construção civil:Placas (engenharia civil):Pisos:Materiais compósitos de fibras:Celulose; 
Lavagem de PET pós-consumo na reciclagem mecânica utilizando ultrassom;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Descontaminação:Politereftalato de etileno (PET):Garrafas plásticas:Reciclagem:Ultrassom; 
Desenvolvimento de um auxílio mecânico para colheita de cana-de-açucar sem queima prévia;;;;;;Ciências Agrárias;Engenharia Agrícola;Máquinas e Implementos Agrícolas;Colheita:Cana-de-açúcar:Mecanização agrícola:Protótipo; 
Desenvolvimento de um auxílio mecânico para colheita de cana-de-açúcar sem queima prévia;;;Agricef Soluções Tecnológicas para Agricultura Ltda (Agricef);Campinas;;Ciências Agrárias;Engenharia Agrícola;Máquinas e Implementos Agrícolas;Cana-de-açúcar:Colheita; 
Síntese de resinas alquídicas utilizando óleo de semente de seringueira de alta biodisponibilidade;;;ISP Oil Indústria, Comércio e Tecnologia em Óleos Vegetais e Resinas Ltda;Campinas;;Engenharias;Engenharia Química;Tecnologia Química;Ácidos graxos:Óleos vegetais:Polimerização:Sementes:Seringueira; 
Desenvolvimento de novas formulações de iscas para o controle de formigas cortadeiras;;;Tapinoma Indústria e Comércio de Desinfetantes Ambientais Ltda. - ME;Rio Claro;;Ciências Agrárias;Agronomia;Fitossanidade;Controle biológico:Pragas de plantas:Formigas cortadeiras:Saúva; 
Sistema de avaliação de riscos geológico-geotécnicos e ambientais em SIG: aplicação no oleoduto São Paulo-Brasília (OSBRA) entre São Simão e Ribeirão Preto (SP);Universidade de São Paulo (USP). Escola de Engenharia de São Carlos (EESC);São Carlos;;;;Engenharias;Engenharia Civil;;Oleodutos:Medição de risco:Sistema de informação geográfica (SIG):Bases de dados:Análise estatística de dados:Modelos matemáticos; 
Síntese de resinas alquídicas utilizando óleo de semente de seringueira de alta biodisponibilidade;;;;;;Engenharias;Engenharia Química;Tecnologia Química;Síntese química:Resinas compostas:Ácidos graxos:Óleos essenciais:Seringueira:São Paulo; 
Desenvolvimento de compósitos polímero - madeira (Wood-Plastic Composites, WPC) para aplicação na indústria de móveis;;;Intecmat Indústria e Tecnologia em Materiais Compostos Poliméricos Ltda (InTecMat);São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Indústria moveleira:Reciclagem:Polímeros (materiais):Resíduos industriais:Desenvolvimento sustentável; 
Análise de viabilidade técnica do sistema construtivo modular utilizando rejeito comercial de serrarias;;;Grinover Associados Arquitetura e Design Ltda;São Paulo;;Ciências Sociais Aplicadas;Arquitetura e Urbanismo;Fundamentos de Arquitetura e Urbanismo;Construção civil:Habitação:Madeira; 
Desenvolvimento de kits de genotipagem e identificação parental por DNA para espécies animais de interesse econômico;;;Genoa Laboratório de Patologia Molecular e Celular Veterinário Ltda;São Paulo;;Ciências Biológicas;Genética;Genética Animal;Genealogia:Técnicas de genotipagem:Melhoramento genético animal:Testes genéticos; 
Lavagem de PET pós-consumo na reciclagem mecânica utilizando ultra-som;;;PZM Comércio e Reciclagem de Plásticos Ltda. - ME;Lençóis Paulista;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Embalagens plásticas:Garrafas plásticas:Reciclagem; 
Desenvolvimento de novos correlatores ópticos operando com iluminação incoerente para a detecção de padrões e objetos em ambientes industriais;;;Qualilux Indústria de Equipamentos Ópticos e Eletrônicos Ltda. - ME;São Carlos;;Engenharias;Engenharia Elétrica;Materiais Elétricos;Óptica:Reconhecimento de objetos:Reconhecimento de padrões; 
Desenvolvimento de métodos diagnósticos de Hantavirose;;;Nanocore Biotecnologia Ltda. - EPP;Campinas;;Ciências Biológicas;Imunologia;Imunoquímica;Diagnóstico clínico:DNA recombinante:Hantavirus:Síndrome pulmonar por Hantavirus; 
Desenvolvimento de novas formulações de iscas para o controle de formigas cortadeiras;;;;;;Ciências Agrárias;Agronomia;Fitossanidade;Controle fitossanitário:Insetos nocivos:Formigas cortadeiras; 
Isolamento e caracterizacao de marcadores microssatelites na mosca do berne dermatobia hominis (diptera:oestridae).;Universidade Estadual de Campinas (UNICAMP). Centro de Biologia Molecular e Engenharia Genética (CBMEG);Campinas;;;;Ciências Biológicas;Genética;Genética Animal;Banco de dados:Microssatélites:Repetições de microssatélites; 
Avaliação do desenvolvimento das espécies de Candida spp. em biofilmes pré-formados por espécies de Streptococcus spp. e Staphylococcus aureus e sua inibição pela atividade antifúngica de extratos fitoterápicos;Universidade Estadual de Campinas (UNICAMP). Faculdade de Odontologia de Piracicaba (FOP);Piracicaba;;;;Ciências da Saúde;Odontologia;;Materiais dentários:Medicamentos fitoterápicos:Biofilmes:Aderência bacteriana:Staphylococcus aureus:Streptococcus:Candida albicans:Testes de sensibilidade microbiana; 
Construção de célula hidrotermal microcontrolada aplicada à síntese de compostos nanoestruturados de alta pureza;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Materiais nanoestruturados:Hidrotermalismo:Síntese química:Cristalização; 
Inspeção automática de revestimentos cerâmicos por visão computacional;;;;;;Engenharias;Engenharia de Produção;;Controle da qualidade:Revestimentos (construção civil):Cerâmica (materiais de construção):Visão computacional:Processamento digital de imagens:Reconhecimento de padrões; 
Inspeção automática de revestimentos cerâmicos por visão computacional;;;Whitepix Sistemas Computacionais Ltda. - EPP;São Carlos;;Engenharias;Engenharia de Produção;;Visão computacional:Controle da qualidade:Materiais cerâmicos:Processamento de imagens:Reconhecimento de padrões; 
Construção de célula hidrotermal microcontrolada aplicada à síntese de compostos nanoestruturados de alta pureza;;;Nanox Tecnologia S/A;São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Nanotecnologia:Nanopartículas:Materiais nanoestruturados:Propriedades dos materiais; 
Pigmentos alternativos a base de nanopartículas aplicáveis a composições poliméricas de engenharia;;;Eliezer Gibertoni - ME;São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Nanopartículas:Polímeros (materiais):Pigmentos:Resinas; 
Projeto e obtenção de uma máquina bobinadeira de fibra óptica pra montagem de sensores a fibra óptica;;;Optsensys Instrumentação Óptica e Eletrônica Ltda;São José dos Campos;;Engenharias;Engenharia Elétrica;;Bobinadeiras:Fibra óptica:Sensores ópticos; 
Viabilização técnico-econômica de processos avançados de usinagem na fabricação de aeronaves leves;;;Aeroalcool Tecnologia Ltda;Franca;;Engenharias;Engenharia Aeroespacial;Materiais e Processos para Engenharia Aeronáutica, Aeroespacial;Aeronaves:Usinagem; 
Credicell - sistema de gestão e processamento de transações de crédito no celular;;;Sima Comércio e Serviços Ltda;Cajobi;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Comércio eletrônico:Processamento de dados:Segurança da informação:Crédito; 
Dispositivo para projeção de anéis circulares concêntricos em microscópio oculares;;;;;;Engenharias;Engenharia Biomédica;Engenharia Médica;Topografia da córnea:Ceratometria:Lâmpada de fenda:Patentes; 
Produção de agregados leves com finos cerâmicos de RCD;;;;;;Engenharias;Engenharia Civil;Construção Civil;Cerâmica (materiais de construção):Entulho:Reciclagem; 
Projeto e obtenção de uma máquina bobinadeira de fibra óptica para montagem de sensores a fibra óptica;;;;;;Engenharias;Engenharia Elétrica;;Bobinadeiras:Fibra óptica:Sensores ópticos; 
SIMA Comércio e Serviços Ltda;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Arquitetura de software:Dispositivos móveis:Comércio eletrônico:Cartão magnético; 
Viabilização técnico econômica de processos avançados de usinagem na fabricação de aeronaves leves;;;;;;Engenharias;Engenharia Aeroespacial;;Usinagem:Aeronaves:Gráficos de controle:Técnicas, medidas, equipamentos de medição; 
Estudo de formulações eficazes de conídios do fungo Metarhizium anisopliae para controle biológico de pragas;;;;;;Ciências Agrárias;Agronomia;Fitossanidade;Controle biológico de vetores:Pragas de plantas:Fungos entomopatogênicos:Metarhizium anisopliae; 
Produção de agregados leves com finos cerâmicos de RCD reciclado;;;Urbem Tecnologia Ambiental Materiais Reciclados para Construção Ltda;São Bernardo do Campo;;Engenharias;Engenharia Civil;Construção Civil;Materiais cerâmicos:Reciclagem de resíduos urbanos:Entulho:Argilas; 
Estudo de formulações eficazes de conídios do fungo Metarhizium anisopliae para o controle biológico de pragas;;;Biocontrol Sistema de Controle Biológico Ltda;Sertãozinho;;Ciências Agrárias;Agronomia;Fitossanidade;Controle biológico:Controle de pragas:Inseticidas biológicos:Metarhizium:Virulência; 
Desinfectora automática de endoscópios equipada com gerador eletrolítico de desinfetante oxidante a partir de água e sal (NaCl);;;Ibasil Tecnologia Ltda;São Paulo;;Engenharias;Engenharia Biomédica;Engenharia Médica;Desinfecção:Eletrólise:Endoscopia:Endoscópios:Gastroenterologia; 
Investigação da atividade biológica de lignanas tetrahidrofuranicas ariltetralinicas obtidas por síntese parcial a partir de (-)-cubebina isolada de sementes de Piper cubeba;Universidade de Franca (UNIFRAN). Pró-Reitoria Adjunta de Pesquisa e Pós-Graduação;Franca;;;;Ciências da Saúde;Farmácia;Farmacognosia;Piper cubeba:Cubebina:Bioatividade:Lignanas:Anti-inflamatórios:Analgésicos:Anti-infecciosos; 
Módulo viveiro: sistema de controle de produção de mudas;;;;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Viveiros:Produção de mudas:Manejo florestal; 
Acionamento da unidade de bombeamento do tipo alternativo para poços de petróleo;;;;;;Engenharias;Engenharia Mecânica;Projetos de Máquinas;Estações de bombeamento:Poços:Petróleo; 
Módulo Viveiro - sistema de controle de produção de mudas;;;Athena Sistemas de Gestão em Recursos Naturais Ltda;Piracicaba;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Produção de mudas:Recursos florestais:Silvicultura:Sistemas de informação; 
Alumina dopada com terras raras;;;CHR Cerâmica Técnica Ltda;São Paulo;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Aluminato de cálcio:Materiais cerâmicos:Terras raras:Dopagem eletrônica:Tubos; 
Acionamento da unidade de bombeamento do tipo alternativo para poços de petróleo;;;Cobrasper Indústria Brasileira de Perfuratrizes Ltda. - ME;São Carlos;;Engenharias;Engenharia Mecânica;Projetos de Máquinas;Acionamento de máquinas elétricas:Engenharia de petróleo:Bombeio centrífugo submerso:Petróleo; 
Desenvolvimento de sensor óptico para monitoramento on line de bolhas em tubulações da indústria química;Universidade Estadual de Campinas (UNICAMP). Faculdade de Engenharia Química (FEQ);Campinas;;;;Engenharias;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação;Sensores ópticos:Indústria química:Tubulações; 
Desenvolvimento de uma rede instrumental CAN para a automatização de experimentos no oleoduto trifásico piloto do NETeF;Universidade de São Paulo (USP). Escola de Engenharia de São Carlos (EESC);São Carlos;;;;Engenharias;Engenharia Mecânica;Fenômenos de Transportes;Escoamento multifásico:Oleodutos:Controller Area Network; 
Alumina dopada com terras raras;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Alumina:Terras raras:Dopagem eletrônica; 
Caracterização da preniltransferase de Piper aduncum (Piperaceae);Universidade Estadual Paulista (UNESP). Campus de Araraquara. Instituto de Química (IQ);Araraquara;;;;Ciências Exatas e da Terra;Química;Química Orgânica;Antifúngicos:Piperaceae:Biossíntese de proteínas:Proteoma; 
Desenvolvimento de metodologia eficaz, simples e adaptada ao clima brasileiro para controle de época de florescimento e eficiência de indução da orquídea Phalaenopsis;;;;;;Ciências Agrárias;Agronomia;;Clima:Orquídea:Phalaenopsis:Estufas:Produção vegetal:Brasil; 
Produção de minitubérculos de batata semente livre de vírus a partir de brotos destacados de batata semente básica de alta sanidade em ambiente protegido;;;;;;Ciências Agrárias;Agronomia;;Tubérculos:Batata:Controle cultural (fitossanidade):Fertirrigação:Vírus de plantas; 
Produção de pós de aço inoxidável por atomização à água;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação;Metalurgia do pó:Materiais porosos:Aço inoxidável:Atomização:Água; 
Automatização da coleta de dados em pesquisas de campo através de dispositivos móveis;;;Tisoft Comércio Eletrônico, Desenvolvimento de Software e Consultoria em Tecnologia da Informação Ltda;Campinas;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Dispositivos móveis:Telefonia móvel:Sistema de posicionamento global (GPS):Pesquisa científica; 
Processo a vácuo de produção de carbono vítreo monolítico, reticulado e poroso;;;Multivácuo Aeroespacial Ltda;São José dos Campos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Produção de substâncias, produtos e materiais:Carbono vítreo; 
Produção industrial de ampicilina por rota enzimática;;;Podotti Laboratório Farmacêutico Ltda;São Paulo;;Engenharias;Engenharia Química;Processos Industriais de Engenharia Química;Indústria farmacêutica:Química verde:Síntese enzimática:Antibióticos:Penicilina G; 
Fios de aço silício com baixas perdas magnéticas;;;Brascoelma Construção Brasileira de Aquecedores Indutivos Ltda;Diadema;;Engenharias;Engenharia de Materiais e Metalúrgica;Metalurgia Física;Materiais magnéticos:Permeabilidade:Transformadores e reatores:Aço; 
Produção de minitubérculos de batata semente livre de vírus a partir de brotos destacados de batata semente básica de alta sanidade em ambiente protegido;;;N Piccin Mudas e Sementes Ltda. - ME;Limeira;;Ciências Agrárias;Agronomia;;Bataticultura:Batata:Sementes:Fertirrigação:Virologia; 
Desenvolvimento de sistema para controle de qualidade de sangue irradiado;;;;;;Engenharias;Engenharia Biomédica;;Controle da qualidade:Sangue:Radioterapia; 
Produção industrial de ampicilina por rota enzimática;;;;;;Engenharias;Engenharia Química;Processos Industriais de Engenharia Química;Ampicilina:Síntese enzimática:Biomateriais:Catalisadores:Preparações farmacêuticas:Antibacterianos; 
Imobilização de enzimas proteolíticas de frutos tropicais e seu uso como ativos cosméticos;;;;;;Ciências Exatas e da Terra;Química;Físico-química;Imobilização de enzimas:Enzimas proteolíticas:Papaína:Bromelaínas:Frutas tropicais:Mamão:Abacaxi:Cosméticos:Microesferas; 
Processo a vácuo de produção de carbono vítreo monolítico, reticulado e poroso;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Forno a vácuo:Carbono vítreo:Compostos orgânicos:Carbonização; 
Plataforma Web para o desenvolvimento do humano em organizações empresariais;;;Efix Ltda;São Paulo;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Capital intelectual:Competência profissional:Desempenho no trabalho:Gestão do conhecimento:Educação a distância; 
Desenvolvimento de metodologia eficaz, simples e adaptada ao clima brasileiro para controle de época de florescimento e eficiência de indução da orquídea Phalaenopsis;;;Agro Lab Plants Ltda. - ME;Araras;;Ciências Agrárias;Agronomia;;Floricultura:Floração:Estufas:Orquídea:Controle da produção; 
Análise da biodiversidade de bactérias associadas à erliquiose canina na região de Ribeirão Preto;;;Heranza Biotecnologia Ltda. - ME;Ribeirão Preto;;Ciências Agrárias;Medicina Veterinária;Clínica e Cirurgia Animal;Animais domésticos:Biodiversidade:Ehrlichia canis:Erliquiose canina; 
Desenvolvimento de sistema para controle de qualidade de sangue irradiado;;;MRA Indústria de Equipamentos Eletrônicos Ltda;Ribeirão Preto;;Engenharias;Engenharia Biomédica;;Doença enxerto-hospedeiro:Controle da qualidade:Irradiação:Sangue:Linfócitos T; 
