Empresa;Área do Conhecimento;Subárea do Conhecimento
Chemyunion Ltda;Farmácia;Farmacognosia
Genética Aplicada a Atividades Veterinárias Ltda. - ME;Genética;Genética Animal
;Química;Química Orgânica
CP2 Ltda. - ME;Agronomia;Fitossanidade
Q Plus Comércio em Geral Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Bettawork Tecnologia da Informação Ltda;Administração;Administração de Setores Específicos
IMS Engenharia de Sistemas Médicos Ltda;Engenharia Biomédica;Bioengenharia
Dencril Comércio e Indústria de Plásticos Ltda;Odontologia;Materiais Odontológicos
Cenic Engenharia Indústria e Comércio Ltda;Engenharia Aeroespacial;Materiais e Processos para Engenharia Aeronáutica, Aeroespacial
Unisoma Matemática para Produtividade S/A (UNISOMA);Matemática;Matemática Aplicada
Ecobiotech Biotecnologia Aplicada a Agricultura Ltda. - ME;Genética;Genética Vegetal
Engene Engenharia Genética Ltda;Bioquímica;Biologia Molecular
;Engenharia Mecânica;Processos de Fabricação
;Imunologia;Imunologia Aplicada
;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
;Ciência da Computação;Sistemas de Computação
;Engenharia Sanitária;Recursos Hídricos
;Zootecnia;Nutrição e Alimentação Animal
;Engenharia de Produção;Gerência de Produção
Empresa Brasileira de Veículos Aéreos Não Tripulados Ltda (EMBRAVANT);Engenharia Aeroespacial;Sistemas Aeroespaciais
Atonus Engenharia de Sistemas Ltda. - EPP;Ciência da Computação;Sistemas de Computação
Centro de Biotecnologia em Reprodução Animal S/S;Medicina Veterinária;Reprodução Animal
AGS Metalúrgica Indústria e Comércio Ltda;Engenharia Mecânica;Processos de Fabricação
Luxsens Pesquisa Desenvolvimento de Sensores Optoeletrônicos Ltda. - ME;Física;Física Geral
Roberta Baptista Rodrigues - ME;Engenharia Sanitária;Recursos Hídricos
Devworks Desenvolvimento de Softwares Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Kloppen Soluções Tecnológicas Ltda;Zootecnia;Nutrição e Alimentação Animal
Aquavale Produção e Comércio Ltda;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
SYM Tecnologia de Informação Ltda;Ciência da Computação;Sistemas de Computação
;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
;Educação;Tópicos Específicos de Educação
;Ciência da Computação;Sistemas de Computação
;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Ticon Indústria, Comércio, Importação e Exportação de Tintas Condutivas Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Roseli Manzano Ferreira Maria - ME;Engenharia Elétrica;Telecomunicações
Technomar Engenharia Ltda;Engenharia Naval e Oceânica;Projeto de Navios e de Sistemas Oceânicos
Innolution Sistemas de Informática Ltda;Ciência da Computação;Sistemas de Computação
Planner Consultoria de Informática e Traduções Técnicas Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Teia Comércio e Serviços de Produtos Educacionais Ltda. - ME;Educação;Tópicos Específicos de Educação
A J Tecnologia e Indústria de Produtos Químicos e de Silicone Ltda. - EPP;Engenharia Química;Tecnologia Química
Orbys Desenvolvimento de Tecnologia de Materiais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Thema Indústria, Comércio, Assessoria e Manutenção Elétrica Ltda;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Centro de Análise e Tipagem de Genomas Ltda (CATG);Medicina;Clínica Médica
Nanox Tecnologia S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Associação Brasileira de Batata (ABBA);Engenharia Agrícola;Engenharia de Água e Solo
;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
;Engenharia Elétrica;Telecomunicações
;Engenharia Agrícola;Engenharia de Água e Solo
;Engenharia Química;Tecnologia Química
;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Almeida & Copeliovitch Engenharia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
QM Química de Materiais;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Cotec Tintas Serigráficas Ltda. - EPP;Engenharia Química;Tecnologia Química
Econolig Tecnologia Ltda;Engenharia Elétrica;Telecomunicações
Precisionweb Informática Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Scylla Informática S/A;Ciência da Computação;Metodologia e Técnicas da Computação
Expertec Serviços e Desenvolvimento Tecnológico Ltda (EXPERTEC);Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Marco Antonio Marques de Souza - EPP;Ecologia;Ecologia Aplicada
Nanobionics Biotecnologia e Bioengenharia Ltda;Engenharia Biomédica;Engenharia Médica
Opto Médica Equipamentos Ltda;Física;Física da Matéria Condensada
Futura Soluções em Automação e Engenharia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Tech Chrom Instrumentos Analíticos Ltda. - ME;Química;Química Analítica
Ray Sistemas Inovadores Ltda. - EPP;Ciência da Computação;Sistemas de Computação
Zero Defeito Produtos e Serviços Ltda;Engenharia Química;Tecnologia Química
;Ciência da Computação;Sistemas de Computação
;Química;Química Orgânica
;Engenharia Elétrica;Materiais Elétricos
;Bioquímica;Biologia Molecular
;Arquitetura e Urbanismo;Tecnologia de Arquitetura e Urbanismo
;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Agricef Soluções Tecnológicas para Agricultura Ltda (Agricef);Engenharia Agrícola;Máquinas e Implementos Agrícolas
ISP Oil Indústria, Comércio e Tecnologia em Óleos Vegetais e Resinas Ltda;Engenharia Química;Tecnologia Química
Tapinoma Indústria e Comércio de Desinfetantes Ambientais Ltda. - ME;Agronomia;Fitossanidade
Intecmat Indústria e Tecnologia em Materiais Compostos Poliméricos Ltda (InTecMat);Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Grinover Associados Arquitetura e Design Ltda;Arquitetura e Urbanismo;Fundamentos de Arquitetura e Urbanismo
Genoa Laboratório de Patologia Molecular e Celular Veterinário Ltda;Genética;Genética Animal
PZM Comércio e Reciclagem de Plásticos Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Qualilux Indústria de Equipamentos Ópticos e Eletrônicos Ltda. - ME;Engenharia Elétrica;Materiais Elétricos
Nanocore Biotecnologia Ltda. - EPP;Imunologia;Imunoquímica
;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Nanox Tecnologia S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Eliezer Gibertoni - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Aeroalcool Tecnologia Ltda;Engenharia Aeroespacial;Materiais e Processos para Engenharia Aeronáutica, Aeroespacial
Sima Comércio e Serviços Ltda;Ciência da Computação;Sistemas de Computação
;Ciência da Computação;Sistemas de Computação
;Agronomia;Fitossanidade
Urbem Tecnologia Ambiental Materiais Reciclados para Construção Ltda;Engenharia Civil;Construção Civil
Biocontrol Sistema de Controle Biológico Ltda;Agronomia;Fitossanidade
Ibasil Tecnologia Ltda;Engenharia Biomédica;Engenharia Médica
Athena Sistemas de Gestão em Recursos Naturais Ltda;Recursos Florestais e Engenharia Florestal;Silvicultura
CHR Cerâmica Técnica Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Cobrasper Indústria Brasileira de Perfuratrizes Ltda. - ME;Engenharia Mecânica;Projetos de Máquinas
;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Tisoft Comércio Eletrônico, Desenvolvimento de Software e Consultoria em Tecnologia da Informação Ltda;Ciência da Computação;Sistemas de Computação
Multivácuo Aeroespacial Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Podotti Laboratório Farmacêutico Ltda;Engenharia Química;Processos Industriais de Engenharia Química
Brascoelma Construção Brasileira de Aquecedores Indutivos Ltda;Engenharia de Materiais e Metalúrgica;Metalurgia Física
Efix Ltda;Ciência da Computação;Sistemas de Computação
Heranza Biotecnologia Ltda. - ME;Medicina Veterinária;Clínica e Cirurgia Animal
Gene ID S/A;Química;Química Analítica
Quasar Informática Ltda;Ciência da Computação;Sistemas de Computação
Anod-Arc Indústria, Comércio e Serviços de Manutenção e Revestimento;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
;Ciência da Computação;Sistemas de Computação
;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
;Ciência da Computação;Sistemas de Computação
;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
;Saúde Coletiva;
Hytron Indústria, Comércio e Assessoria Tecnológica em Energia e Gases Industriais Ltda (Hytron);Engenharia Mecânica;Projetos de Máquinas
Brdisplays Comércio e Serviços de Componentes Eletrônicos Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
MRA Indústria de Equipamentos Eletrônicos Ltda;Engenharia Biomédica;Engenharia Médica
Racetronix Engenharia Industrial Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Mario Alexandre Gazziro - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
;Ciência da Computação;Metodologia e Técnicas da Computação
Cientistas Associados Desenvolvimento Tecnológico Ltda;Imunologia;Imunologia Aplicada
Inprogeo Indústria de Produtos Geossintéticos Ltda;Engenharia Civil;Construção Civil
Ipech Integração e Processos Tecnológicos Ltda;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
HCA Sistemas Inteligentes de Sensoriamento Integrados Indústria, Comércio Pesquisa Ltda;Engenharia Elétrica;Materiais Elétricos
Optron Micromecânica Óptica Ltda. - ME;Química;Química Inorgânica
;Agronomia;Fitossanidade
;Engenharia Química;Processos Industriais de Engenharia Química
;Zootecnia;Produção Animal
;Geociências;Geodésia
;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
;Engenharia Aeroespacial;
Siena Soluções Tecnológicas e Comércio Ltda;Ciência da Computação;Sistemas de Computação
Navcon Navegação e Controle Indústria e Comércio Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
Transformare Evolução Tecnológica de Sistemas Ltda;Ciência da Computação;Sistemas de Computação
Sales e Macedo Assessoria Empresarial S/C Ltda;Zootecnia;Produção Animal
Sensoft Indústria e Automação Ltda;Engenharia Mecânica;Projetos de Máquinas
Pro-Clone Comércio de Mudas Matrizes - ME;Agronomia;Fitossanidade
Engemap Engenharia, Mapeamento e Aerolevantamento Ltda;Geociências;Geodésia
Edval Gonçalves de Araújo - ME;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Asga S/A;Engenharia Elétrica;Telecomunicações
;Microbiologia;Microbiologia Aplicada
;Engenharia Elétrica;Telecomunicações
;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
;Farmacologia;Farmacologia Bioquímica e Molecular
Brockmeyer Space Engineering Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
Tramppo Comércio e Reciclagem de Produtos Industriais Ltda. - ME;Engenharia Química;Tecnologia Química
Quadros Systems Brasil Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
KNBS Telecomunicações e Informática Ltda;Engenharia Elétrica;Telecomunicações
Thomson Tecnologia em Energia Térmica e Bombas de Calor Ltda;Engenharia Agrícola;Energização Rural
Multivácuo Aeroespacial Ltda;Engenharia Química;Processos Industriais de Engenharia Química
Nexus Geoengenharia e Comércio Ltda;Engenharia Sanitária;Saneamento Básico
Valdenir Rossi;Agronomia;Fitotecnia
Flyever Indústria e Comércio de Equipamentos Eletrônicos Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Foco do Brasil Indústria e Comércio Ltda. - ME;Engenharia de Produção;Engenharia do Produto
Pro-Clone Comércio de Mudas Matrizes - ME;Genética;Genética Vegetal
Bianco Avestruz Ltda;Zootecnia;Genética e Melhoramento dos Animais Domésticos
Deflotec Indústria e Comércio de Produtos Refratários Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
EDG Equipamentos e Controles Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
STQ Comércio e Serviços de Tecnologia Química Ltda;Farmácia;Análise Toxicológica
Eletrocell Indústria e Comércio de Equipamentos Elétricos Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Proteimax Consultoria S/S Ltda;Farmacologia;Farmacologia Bioquímica e Molecular
Inoveo Pesquisa, Desenvolvimento de Produtos e Projetos de Automação de Sistemas Ltda (Inoveo);Engenharia Biomédica;Bioengenharia
Cromática Sistemas de Comunicação de Dados e Informática Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Applied Science Consultoria Ltda;Oceanografia;Oceanografia Física
Nexus Geoengenharia e Comércio Ltda;Engenharia Sanitária;Saneamento Ambiental
Ecozon Plus Indústria, Comércio, Importação e Exportação de Equipamentos Geradores de Ozônio Ltda;Engenharia de Produção;Engenharia do Produto
Eletrocell Indústria e Comércio de Equipamentos Elétricos Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Nanocore Biotecnologia Ltda. - EPP;Bioquímica;Biologia Molecular
Nanox Tecnologia S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Multicorpos Engenharia S/S Ltda;Engenharia Biomédica;Engenharia Médica
Elo Indústria e Comércio de Correias Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Bio Pronto Indústria e Comércio de Produtos Biológicos Ltda. - ME;Microbiologia;Biologia e Fisiologia dos Microorganismos
Orbisat da Amazônia Indústria e Aerolevantamento S/A;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Koller & Sindicic Importação e Exportação Ltda;Engenharia Elétrica;Telecomunicações
Anatech Equipamentos de Medição e Controle Ltda;Química;Química Analítica
R C Construções Ltda;Engenharia Civil;Construção Civil
Gwyddion Indústria de Produtos Eletrônicos Ltda. - ME;Planejamento Urbano e Regional;Serviços Urbanos e Regionais
Unigen Tecnologia do DNA Ltda;Bioquímica;Biologia Molecular
ADP Água de Prata Tecnologia em Soluções Metálicas Ltda;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
Korth Rfid Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Enalta Inovações Tecnológicas S/A;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Tecnun Compostos Indústria e Comércio de Produtos Plásticos Ltda;Engenharia Química;Operações Industriais e Equipamentos para Engenharia Química
Atonus Engenharia de Sistemas Ltda. - EPP;Ciência da Computação;Sistemas de Computação
Proqualit Telecon Ltda;Engenharia Elétrica;Telecomunicações
Geodados Mapeamento e Pesquisa Ltda;Geociências;Geografia Física
MRA Indústria de Equipamentos Eletrônicos Ltda;Engenharia Biomédica;Engenharia Médica
NPA Núcleo de Pesquisas Aplicadas Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
PHB Industrial S/A;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Mextra Engenharia Extrativa de Metais Ltda (MEXTRA);Engenharia de Materiais e Metalúrgica;Metalurgia Extrativa
Tecnident Equipamentos Ortodônticos Ltda (Tecnident);Odontologia;Materiais Odontológicos
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Unitech Projetos Pesquisas Desenvolvimento Consultoria Comércio Ltda;Engenharia Química;Tecnologia Química
Femto Indústria e Comércio de Instrumentos Ltda;Química;Química Analítica
Compsis Computadores Sistemas Indústria e Comércio Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Lasertools Tecnologia Ltda;Física;Física da Matéria Condensada
Navcon Navegação e Controle Indústria e Comércio Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
CP2 Ltda. - ME;Agronomia;Fitossanidade
Brasil Ostrich Comercial, Importação e Exportação Ltda;Zootecnia;Produção Animal
Optolink Indústria e Comércio Sociedade Ltda;Engenharia Mecânica;Projetos de Máquinas
Adespec Adesivos Especiais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Eletrocell Indústria e Comércio de Equipamentos Elétricos Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Omnisys Engenharia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Pro-Clone Comércio de Mudas Matrizes - ME;Genética;Genética Vegetal
Nanocore Biotecnologia Ltda. - EPP;Imunologia;Imunologia Aplicada
Invernire Internacional Informática Ltda;Ciência da Computação;Sistemas de Computação
Inovamat Inovações em Materiais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Hydrex Comercial Hidraúlica Ltda;Engenharia Mecânica;Projetos de Máquinas
;Ciência da Computação;Sistemas de Computação
;Engenharia Mecânica;Engenharia Térmica
Mems Microssistemas Integrados Híbridos de Pressão, Indústria e Comércio Ltda (MEMS);Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Camelback Comércio de Pneus de Santos Ltda. - ME;Engenharia Química;Operações Industriais e Equipamentos para Engenharia Química
Zucca Alimentos Ltda. - ME;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
HR de Souza Informática - ME;Ciência da Computação;Sistemas de Computação
DDS Produtos Odontológicos Ltda;Odontologia;Ortodontia
CFLEX Computação Flexível Aplicada Ltda;Ciência da Computação;Sistemas de Computação
Vitrovita Instituto de Inovação em Vitrocerâmicos Importação e Exportação Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Nelson Marinelli Filho - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Angelus-Lab Laboratório de Pesquisa Industrial Ltda;Odontologia;Materiais Odontológicos
Santos Dumont Criação e Design Ltda. - ME;Desenho Industrial;Desenho de Produto
Prolatex Comércio de Latex Ltda;Química;Físico-química
Física Médica Serviços e Consultoria Técnica S/C Ltda;Engenharia Biomédica;Engenharia Médica
Klais Soluções Consultoria e Desenvolvimento Ltda;Ciência da Computação;Sistemas de Computação
Enalta Inovações Tecnológicas S/A;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Ecozon Plus Indústria, Comércio, Importação e Exportação de Equipamentos Geradores de Ozônio Ltda;Engenharia de Produção;Engenharia do Produto
Geoconsult Ltda;Economia;Economia Internacional
Central Brasileira de Comercialização e Distribuição de Rã Ltda;Farmacologia;Etnofarmacologia
Instituto Internacional de Ecologia de São Carlos Ltda (IIE);Ecologia;Ecologia Aplicada
Proteobrás Desenvolvimento Biotecnológico Ltda (PROTEOBRÁS);Genética;Genética Animal
Gepco Indústria e Comércio Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
National Bureau Serviços de Consultoria em Negócios Ltda;Ciência da Computação;Sistemas de Computação
Quadros Systems Brasil Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Kryptus Segurança da Informação Ltda;Ciência da Computação;Sistemas de Computação
Pro-Clone Comércio de Mudas Matrizes - ME;Agronomia;Fitossanidade
Vitrovita Instituto de Inovação em Vitrocerâmicos Importação e Exportação Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Vitrovita Instituto de Inovação em Vitrocerâmicos Importação e Exportação Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Tecnident Equipamentos Ortodônticos Ltda (Tecnident);Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Digital Vxia do Brasil Automação Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Scylla Informática S/A;Ciência da Computação;Sistemas de Computação
Tempo Soluções em Informática S/C Ltda;Ciência da Computação;Sistemas de Computação
Criartec Indústria, Comércio e Serviços de Materiais Didáticos Ltda. - ME;Educação;Ensino-aprendizagem
Griaule Biometrics Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Fiberwork Comunicações Ópticas Ltda;Engenharia Elétrica;Telecomunicações
Sunset Informática Ltda;Ciência da Computação;Sistemas de Computação
Ignis Tecnologia da Informação e Comunicação Ltda (IgnisCom);Engenharia Elétrica;Telecomunicações
Reaquim Indústria e Comércio de Produtos Químicos Ltda. - ME;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Ata Análises Tecnologia Comércio e Representações Ltda;Imunologia;Imunologia Aplicada
Tandra Sistemas de Controle Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Bioware Desenvolvimento e Tecnologia em Energia e Meio Ambiente Ltda;Recursos Florestais e Engenharia Florestal;Energia de Biomassa Florestal
Deltacom Comunicações Ltda;Economia;Economias Agrária e dos Recursos Naturais
Apyon Technology S/A;Ciência da Computação;Metodologia e Técnicas da Computação
Fungibrás Indústria e Comércio em Fungicultura Ltda;Microbiologia;Microbiologia Aplicada
Ótica Online Ltda;Engenharia Biomédica;Bioengenharia
DWG Arquitetura e Sistemas S/C Ltda;Engenharia de Produção;Engenharia do Produto
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Tech Chrom Instrumentos Analíticos Ltda. - ME;Química;Química Analítica
Innovatech Telecom Indústria e Comércio de Equipamentos Eletrônicos e de Telecomunicações Ltda (Innovatech);Engenharia Elétrica;Telecomunicações
Eccos Indústria Metalúrgica Ltda;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
JM Tecnologia e Sistemas Ltda;Ciência da Computação;Sistemas de Computação
Sensis São Carlos Indústria Comércio Equipamentos Eletrônicos Ltda. - ME;Engenharia Mecânica;Processos de Fabricação
Fibraforte Engenharia Indústria e Comércio Ltda;Engenharia Aeroespacial;Propulsão Aeroespacial
Genética Molecular Pesquisa e Desenvolvimento Ltda (GENON);Genética;Genética Animal
Fiberwork Comunicações Ópticas Ltda;Engenharia Elétrica;Telecomunicações
BCB Comércio de Sucatas Plásticas Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Linax Indústria e Comércio de Óleos Essenciais Ltda;Agronomia;Fitotecnia
Cientistas Associados Desenvolvimento Tecnológico Ltda;Ciência da Computação;Sistemas de Computação
Lotus Química Ambiental Ltda. - ME;Química;Físico-química
Fultec Inox Ltda;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Adiel Comercial Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
;Bioquímica;Biologia Molecular
Genomic Engenharia Molecular Ltda;Genética;Genética Quantitativa
Aquar Air Systems Ltda;Engenharia Mecânica;Fenômenos de Transportes
Fornazari & Papini Ltda;Odontologia;Clínica Odontológica
Oriel Indústria e Comércio Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Asga S/A;Ciência da Computação;Sistemas de Computação
V S Ferreira Consultoria;Engenharia Química;Tecnologia Química
Tecnovip Instrumentos de Medição Ltda (Tecnovip);Química;Físico-química
Femto Indústria e Comércio de Instrumentos Ltda;Química;Química Analítica
Cromática Sistemas de Comunicação de Dados e Informática Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
BCB Comércio de Sucatas Plásticas Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Purifilt Indústria e Comércio de Filtros e Elementos Filtrantes Ltda;Engenharia Química;Tecnologia Química
Eliezer Gibertoni - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
KBS Empreendimentos e Participações S/C Ltda;Engenharia Elétrica;Telecomunicações
Mind Games Software S/C Ltda;Engenharia Elétrica;Sistemas Elétricos de Potência
Elementos Filtrantes Prisma Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Cientistas Associados Desenvolvimento Tecnológico Ltda;Ciência da Computação;Sistemas de Computação
Ipel Itibanyl Produtos Especiais Ltda;Microbiologia;Microbiologia Aplicada
Treinamento Consultoria Projetos e Pesquisa em Telecomunicações Ltda;Engenharia Elétrica;Telecomunicações
Orion Indústria e Comércio de Sistemas Automatos de Pressão Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Cientistas Associados Desenvolvimento Tecnológico Ltda;Ciência da Computação;Sistemas de Computação
Hiperlógica Informática e Educação Ltda. - ME;Administração;Administração de Empresas
Eletrovento Ltda. - ME;Engenharia Aeroespacial;Aerodinâmica
Bio Soja Indústrias Químicas e Biológicas Ltda;Agronomia;Fitossanidade
Bio Controle Métodos de Controle de Pragas Ltda;Agronomia;Fitossanidade
Athena Sistemas de Gestão em Recursos Naturais Ltda;Recursos Florestais e Engenharia Florestal;Manejo Florestal
Belver Instrumentos Eletrônicos Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Alexander Lucinski & Consultores Associados em Informática;Ciência da Computação;Sistemas de Computação
Amaury José Alves Aranha - ME;Ciência da Computação;Sistemas de Computação
Carol Química Ltda;Engenharia Química;Tecnologia Química
Arruda & Bertazzoli Ltda. - ME;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
;Ciência da Computação;Metodologia e Técnicas da Computação
;Química;
ADTS Soluções em Automação e Engenharia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Optron Micromecânica Óptica Ltda. - ME;Física;Física Geral
Omnisys Engenharia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Phoenix Agrícola Ltda;Genética;Genética Vegetal
Metalúrgica Piacentini & Cia Ltda;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Plantech Centro de Produção Vegetal Ltda;Genética;Genética Vegetal
Unisoma Matemática para Produtividade S/A (UNISOMA);Matemática;Matemática Aplicada
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
Auttran Automação de Transportes, Comércio e Indústria Ltda;Engenharia Elétrica;Telecomunicações
Vácuoflex Tecnologias Refletivas Ltda;Arquitetura e Urbanismo;Tecnologia de Arquitetura e Urbanismo
C O Egalon Consultoria - ME;Química;Química Inorgânica
E + l Engenharia da Informação Ltda;Engenharia Elétrica;Telecomunicações
Imag Indústria e Comércio de Componentes Eletrônicos Ltda (IMAG);Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Natural Products & Technologies Ltda. - ME;Engenharia Química;Tecnologia Química
Green Technologies Projetos Agroindustriais S/C Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Alpha Produtos Químicos Ltda;Engenharia Química;Tecnologia Química
Ipsos Novaction Brasil Ltda (Ipsos);Comunicação;Relações Públicas e Propaganda
Colly Química Indústria e Comércio Ltda. - EPP;Engenharia Química;Tecnologia Química
Cyrbe do Brasil Indústria Química Ltda;Microbiologia;Microbiologia Aplicada
;Química;Química Orgânica
E + l Engenharia da Informação Ltda;Engenharia Elétrica;Telecomunicações
Omnisys Engenharia Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
