Empresa;Municipio
DEV Tecnologia, Indústria, Comercio, Manutencao de Equipamentos Ltda. - ME;Sao Paulo
Ibi Agentes Biologicos Ltda;Araras
IDGeo Inteligencia em Dados Geograficos Ltda;Piracicaba
Marcel Jose Lemes Pinheiro Servicos - EPP;Indaiatuba
OAM Obras e Restauracao Ltda. - ME;Sao Paulo
Multimedia Arts Ltda;Santana de Parnaiba
Selaz Indústria e Comercio de Aparelhos Biomecânicos Ltda (SELAZ);Sao Jose dos Campos
Eliza Massako Akiyama Ota;Sao Paulo
Viatech Indústria, Comercio e Prestacao de Servico Ltda;Sorocaba
Advance Solucões em Informatica Ltda;Hortolândia
Gabisa Medical International Ltda;Sorocaba
I.Systems Automacao Industrial S/A;Campinas
TEC3GEO Geotecnologias para o Meio Ambiente Ltda. - ME;Sao Paulo
MGov Brasil Consultoria em Gestao de Politicas Públicas Ltda;Sao Paulo
Viafauna Estudos Ambientais Ltda;Sao Paulo
DC Quimica, Representacao e Comercio de Produtos Quimicos Ltda;Sao Caetano do Sul
Mvisia Desenvolvimentos Inovadores Ltda;Sao Paulo
Vinicius Mourao Alves de Souza 05786953912;Sao Carlos
Labmath Assessoria e Consultoria Tecnica Ltda. - ME;Sao Jose dos Campos
Eleve Pesquisa e Desenvolvimento Ltda;Ribeirao Preto
Dentillo e Gavio Identificacao e Quantificacao Molecular Ltda. - ME;Ribeirao Preto
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME;Sao Paulo
Smartbio Desenvolvimento Tecnologico Ltda (Smartbio);Adamantina
Treevia Servicos de Engenharia Ltda. - ME;Sao Jose dos Campos
Laboratorio Biosintesis P & D do Brasil Ltda;Sao Paulo
Tambora Engenharia de Materiais Metalicos e Industriais Ltda;Campinas
Dspgeo Servicos em Engenharia Aplicada à Geofisica e Petroleo Ltda. - ME;Campinas
Peixe do Mar Aquicultura Marinha Sustentavel Ltda. - ME;Campinas
EVA Scientific Indústria, Comercio e Servicos Ltda;Sao Paulo
TV On Demand Consultoria e Solucões S/S Ltda;Sao Paulo
Naked Monkey Ltda. - ME;Sao Paulo
Fernando Takashi Kanemoto;Sao Paulo
BR Labs Tecnologia optica e Fotonica Ltda;Sao Carlos
Sppt Pesquisas Tecnologicas Ltda;Mogi Mirim
DMA Indústria e Tecnologia Eireli - EPP;Campinas
TROV Servicos Tecnologicos Ltda;Sao Paulo
Fortelab Fornos Tecnicos de Laboratorio Ltda. - EPP;Sao Carlos
Promip Comercio, Pesquisas e Desenvolvimento de Agentes Biologicos Ltda (PROMIP);Engenheiro Coelho
BrPhotonics Produtos Optoeletronicos Ltda;Campinas
Altave Indústria, Comercio e Exportacao de Aeronaves S/A;Sao Jose dos Campos
Acquest Geologia e Geofisica Subaquatica Ltda;Sao Paulo
Andrea de Souza Stockl;Sao Paulo
Dr Stanley Nutricao e Bem Estar Ltda. - ME;Indaiatuba
Dsma Desenvolvimento Sustentavel e Monitoramento Ambiental Ltda. - EPP;Mogi das Cruzes
Pierossi Consultoria Ltda;Campinas
Particulas Desenvolvimento e Tecnologia em Materiais Ligno Celulosicos Ltda;Sao Carlos
Ciaware Centro de Informatizacões e Analises Ltda;Ribeirao Preto
Sisterm - Comercio e Instalacao de Ar Condicionado Ltda;Campinas
Altave Indústria, Comercio e Exportacao de Aeronaves S/A;Sao Jose dos Campos
Cursor - Softwares para Identificacao e Controle Ltda;Sao Paulo
Onion Tecnologia Ltda. - ME;Sao Carlos
Ja! - Indústria e Comercio de Produtos e Servicos de Tecnologia da Informacao e Comunicacao Ltda;Campinas
Integrare Aprendizagem e Treinamento Ltda. - ME;Campinas
Yechi Comercial, Locadora, Distribuidora, Importadora e Exportadora de Produtos em Geral Ltda;Sao Paulo
Eletrize Locacao e Desenvolvimento de Software Ltda;Bauru
Caos Focado Consultoria Ltda;Sao Paulo
Pullup Solucões Sistemas Eletronicos Ltda;Sao Paulo
Cross Reality Sistemas Ltda;Ribeirao Preto
Joao Batista Sgorbissa - ME;Sao Paulo
Onkos Diagnosticos Moleculares Ltda. - ME;Ribeirao Preto
Neoinfinito Softwares - Eireli;Sao Carlos
Innolution Sistemas de Informatica Ltda;Ribeirao Preto
Avita Produtos Quimicos Farmaceuticos Ltda;Ribeirao Preto
Developnow Projetos de Software e Eletronica Ltda. - ME;Sao Carlos
Pangeiabiotech Pesquisa e Desenvolvimento Ltda;Campinas
Innovare Biotecnologia e Saúde Animal Ltda;Monte Aprazivel
Dietech Automacao Industrial e Robotica Ltda;Sao Carlos
Propark Paisagismo e Ambiente Ltda;Piracicaba
Nchemi Engenharia de Materiais Ltda;Sao Carlos
Nitryx Consultoria e Informatica Ltda;Campinas
Sustentare Gestao e Treinamento Ltda;Sao Paulo
Accert Pesquisa e Desenvolvimento em Quimica e Biotecnologia Ltda (ACCERT);Sao Carlos
Accert Pesquisa e Desenvolvimento em Quimica e Biotecnologia Ltda (ACCERT);Sao Carlos
Inovafi - Fisica Aplicada a Inovacao Ltda;Campinas
Afinko Solucões em Polimeros Ltda;Sao Carlos
Achilles Genetics Biotecnologia em Reproducao Animal Ltda;Garca
Bioemergens Brasil Ltda;Sao Jose do Rio Preto
Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs);Ribeirao Preto
Labmaq do Brasil Ltda;Ribeirao Preto
Alchemy Inovacao, Pesquisa e Desenvolvimento Ltda;Santana de Parnaiba
In Situ Terapia Celular Ltda;Paulinia
Tecplas Indústria e Comercio Ltda. - EPP;Sao Jose dos Campos
Tech - Inovacões Tecnologicas para a Agropecuaria Ltda;Piracicaba
Alk Agricola Ltda. - ME;Engenheiro Coelho
Geomap Ltda;Sao Jose dos Campos
Umbu Negocios Ltda;Santana de Parnaiba
NBL Engenharia Ambiental Eireli - EPP;Piracicaba
T2V Indústria, Comercio e Servicos em Tecnologia Ltda. - ME;Sao Paulo
Salt Sea & Limno Technology Consultoria Ambiental Ltda;Sao Paulo
Cis Biomoleculas Ltda. - ME;Carapicuiba
Capillare Servicos de Pesquisa e Inovacao Ltda;Sao Paulo
Engrenar Tecnologia Ltda;Sao Roque
Mupi Tecnologia e Servicos de Informacao Ltda. - ME;Sao Paulo
Agesan Arquitetura e Engenharia Ltda;Sao Paulo
Virtualcae Comercio e Servicos de Sistemas Ltda. - EPP;Sao Caetano do Sul
Optolink Indústria e Comercio Sociedade Ltda;Campinas
Nchemi Engenharia de Materiais Ltda;Sao Carlos
BRP Inovacao, Assessoria e Representacao Comercial Ltda;Ribeirao Preto
Inova Servicos de Digitalizacao e Preparacao de Documentos Ltda. - ME;Cotia
Ultrapan Indústria e Comercio Ltda;Valinhos
Kairos Lab Ltda. - ME;Sao Carlos
Enterup Tecnologia em Sistemas Ltda - ME;Sao Jose do Rio Preto
Immunodot Indústria e Pesquisa de Produtos para Diagnostico Ltda. - ME;Jaboticabal
Brax Indústria e Comercio de Maquinas e Equipamentos Eletronicos Ltda;Rio Claro
Keme Desenvolvimento e Comercio de Instrumentos Cientificos Ltda;Campinas
Soraya El Khatib - EPP;Campinas
CL Empreendimentos Biologicos Ltda. - EPP;Piracicaba
Guten Educacao e Tecnologia Ltda. - EPP;Sao Paulo
R4F Tecnologia em Telecomunicacões Ltda;Campinas
LHColus Tecnologia Ltda. - ME;Sao Jose dos Campos
Ventrix Holding S/A;Cotia
Seip 7 Indústria e Comercio de Maquinas Ltda. - ME;Sorocaba
Felipe Wilker Grillo - ME;Ribeirao Preto
Naked Monkey Ltda. - ME;Sao Paulo
Circuitar Eletronicos, Importacao e Exportacao Ltda. - ME;Sao Carlos
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;Sao Carlos
MarquesParizotto Engenharia S/S;Sao Carlos
SmarToys Ltda. - ME;Sorocaba
Nanox Tecnologia S/A;Sao Carlos
Bradar Indústria S/A;Sao Jose dos Campos
Rheabiotec Desenvolvimento, Producao e Comercializacao de Produtos de Biotecnologia Ltda (Rheabiotec);Campinas
Medtech Servicos de Informatica Ltda;Sao Paulo
Techduto Indústria e Comercio de Maquinas e Artefatos de Plasticos Ltda;Sao Jose dos Campos
Victor Vision Indústria, Comercio, Importacao e Exportacao de Equipamentos Medicos Odontologicos Ltda;Sao Carlos
Citi Industrial Systems Eireli - EPP;Sorocaba
Biotech-Space Rede de Pesquisadores de Biotecnologia e Biociencias Ltda. - ME;Campinas
Libera Tecnologia e Inovacao Ltda;Sao Paulo
Dnapta Biotecnologia Ltda;Sao Jose do Rio Preto
Hidroflex Indústria e Participacões Ltda;Sao Carlos
ALS Laboratorios LS Ltda;Sao Paulo
Bioativos Naturais Ltda. - ME;Sao Paulo
IQX Inove Qualyx Tecnologia e Desenvolvimento em Resinas Ltda;Valinhos
BioTecnoVale Pesquisa e Desenvolvimento Ltda. - EPP;Sao Jose dos Campos
Lipid Ingredients & Technologies Ltda. - ME;Ribeirao Preto
DPR Engenharia Assessoria e Consultoria em Projetos da area Petrolifera Ltda;Campinas
Decoy Tecnologia em Controle de Pragas S/A;Ribeirao Preto
Minaplan Comercio e Servicos Ltda;Sao Paulo
Mark Spekken Engenharia;Piracicaba
Scheme Lab Propriedade Industrial S/S Ltda;Sao Paulo
Doppia M Projetos Socioculturais e Servicos Administrativos Ltda;Sao Paulo
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME;Sao Paulo
Inreservoir Solutions - Projetos e Pesquisas em Ciencias e Engenharia de Petroleo Ltda;Campinas
Hevoise F. Papini Servicos de Nutricao - ME;Sao Paulo
Nervera Servicos de Informatica Ltda. - ME;Sao Paulo
Luxtec Sistemas opticos Ltda;Campinas
TECAM Tecnologia Ambiental Sao Roque Ltda;Sao Roque
Invent Biotecnologia Ltda. - ME;Ribeirao Preto
Indústria Brasileira de Rebites Ltda;Sao Paulo
Radeco Consultoria Empresarial Ltda;Sao Paulo
DPR Engenharia Assessoria e Consultoria em Projetos da area Petrolifera Ltda;Campinas
Tallahassee Ltda;Sao Paulo
SpeechTera Desenvolvimento de Programas para Computadores Ltda;Araras
GNJ - Consultoria e Desenvolvimento de Projetos Tecnico-Cientificos Ltda;Sao Jose do Rio Preto
Equatorial Sistemas S/A;Sao Jose dos Campos
Luxtec Sistemas opticos Ltda;Campinas
Dinamo Networks - Servicos, Desenvolvimento e Participacões em Consorcios ou Empresas Ltda;Santana de Parnaiba
Atmos Sistemas Ltda;Sao Paulo
Bevi Plastic Artefatos Plasticos Ltda;Mairinque
Produtos Quimicos Guacu Indústria e Comercio Ltda (PQG);Estiva Gerbi
WSGB Laboratorios Ltda;Sao Carlos
Omnisys Engenharia Ltda;Sao Bernardo do Campo
Omnisys Engenharia Ltda;Sao Bernardo do Campo
Omnisys Engenharia Ltda;Sao Bernardo do Campo
Omnisys Engenharia Ltda;Sao Bernardo do Campo
Equatorial Sistemas S/A;Sao Jose dos Campos
Engecer Ltda;Sao Carlos
PHC Servicos Administrativos e Projetos Ltda. - ME;Ribeirao Preto
FCA Brasil Indústria, Comercio e Usinagem de Pecas Ltda. EPP;Campinas
Macnica DHW Ltda;Sao Paulo
Terra Azul Tecnologia de Polimeros Naturais Ltda;Limeira
Luxtec Sistemas opticos Ltda;Campinas
Equatorial Sistemas S/A;Sao Jose dos Campos
Playax Internet Ltda;Sao Paulo
WTA - Watanabe Tecnologia Aplicada Ltda. - EPP;Cravinhos
Felipe Azevedo Moretti;Sao Paulo
Mycofinder Genomica e Controle Biologico Ltda;Adamantina
3T Biopolimeros Servicos de Pesquisa Ltda;Sao Paulo
Timpel S/A;Sao Paulo
Genotyping Laboratorio de Biotecnologia Ltda (Genotyping);Botucatu
Timpel S/A;Sao Paulo
C O Egalon Consultoria - ME;Sao Jose dos Campos
Chemyunion Ltda;Sorocaba
Sharewater Projetos, Indústria e Comercio em Sistemas Hidraulicos Ltda;Sao Paulo
Colly Quimica Indústria e Comercio Ltda. - EPP;Capivari
Joao Luiz Chela - ME;Sao Jose dos Campos
Atrium Assessoria Florestal Ltda;Piracicaba
Elo Verde Produtos Biologicos Ltda. - ME;Holambra
Savol Indústria e Comercio e Maquinas Ltda;Sao Paulo
Lebre Pesquisa e Desenvolvimento de Equipamentos Esportivos Adaptados Ltda;Campinas
Tecplas Indústria e Comercio Ltda. - EPP;Sao Jose dos Campos
Siaa Desenvolvimento de Sistemas Eireli - ME;Sao Paulo
Maxprotein - Pesquisa, Indústria e Comercio Ltda;Piracicaba
Cellco Biotec do Brasil Ltda;Sao Carlos
Marcelo Victor Pires Sousa Desenvolvimento Tecnologico Fotomedicina - ME;Sao Paulo
Intecmat Indústria e Tecnologia em Materiais Compostos Polimericos Ltda (InTecMat);Sao Carlos
Omnis Biotecnologia S/A;Sao Paulo
Biocelere Agroindustrial Ltda;Campinas
Saveway Comercio e Representacões de Softwares Ltda;Campinas
Chemyunion Ltda;Sorocaba
Synbeeosis Indústria e Comercio de Produtos Ambientais Ltda (Synbeeosis);Sao Carlos
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME;Sao Paulo
Ultra Hi Plasticos Industriais Ltda;Barueri
Chemyunion Ltda;Sorocaba
Ambra Solutions Servicos Tecnicos Ltda;Sao Jose dos Campos
Itera Inovacao e Desenvolvimento Tecnologico Ltda. - ME;Sao Carlos
Karla Cristiane B Mello Pesquisas e Desenvolvimento - ME;Sao Paulo
Cogneti-Tec Sistemas Ltda. - ME;Campinas
Led Visual Medica Ltda. - ME;Araraquara
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;Sao Carlos
Laboratorio Vitafort Indústria e Comercio Produtos Veterinarios Ltda;Ribeirao Preto
Cotaltec Pesquisa e Desenvolvimento Ltda;Limeira
Flavia Pinheiro Zanotto;Ilha Comprida
ANS Pharma Consultoria Ltda;Paulinia
Braincare Desenvolvimento e Inovacao Tecnologica Ltda;Sao Carlos
I.Systems Automacao Industrial S/A;Campinas
Tecsus Tecnologias para a Sustentabilidade Ltda. - ME;Sao Jose dos Campos
Bioforte Farmaceutica Ltda;Sao Paulo
Amanda Juliao da Costa - ME;Sao Carlos
In Vitro Brasil Ltda;Mogi Mirim
Quantum Biotecnologia, Equipamentos, Servicos de Laboratorio Ltda. - ME;Sao Carlos
Chronuscamp Research Analises Termocronologicas Ltda;Itapira
Immunocamp Comercio de Produtos Hospitalares Ltda;Vinhedo
Keme Desenvolvimento e Comercio de Instrumentos Cientificos Ltda;Campinas
Maria Teresa P Egreja Camargo - ME;Dois Corregos
Salus Comercio de Produtos de Saúde e Nutricao Animal Ltda;Santo Antonio de Posse
Hytron Indústria, Comercio e Assessoria Tecnologica em Energia e Gases Industriais Ltda (Hytron);Campinas
DEV Tecnologia, Indústria, Comercio, Manutencao de Equipamentos Ltda. - ME;Sao Paulo
Xastre Peternela Consultoria Ltda. - ME;Campinas
DLG Automacao Industrial Ltda;Sertaozinho
RVT Servicos Administrativos Ltda. - ME;Sao Jose dos Campos
Simworx Pesquisa e Desenvolvimento de Programas de Computadores Ltda;Campinas
Vivax Servicos Ltda;Sao Caetano do Sul
Clorovale Diamantes Indústria e Comercio Ltda;Sao Jose dos Campos
Intecmat Indústria e Tecnologia em Materiais Compostos Polimericos Ltda (InTecMat);Sao Carlos
IPclin - Instituto de Pesquisa Clinica Integrada Ltda;Sao Paulo
Clorovale Diamantes Indústria e Comercio Ltda;Sao Jose dos Campos
DEV Tecnologia, Indústria, Comercio, Manutencao de Equipamentos Ltda. - ME;Sao Paulo
Bioativos Naturais Ltda. - ME;Sao Paulo
Reciclapac Solucões para Embalagens Ltda;Sao Paulo
Elabora P&D, Computacao e Sistemas de Informatica Ltda;Campinas
Sistemas Inteligentes em Telecomunicacões Ltda;Taquaral
More Focus Tecnologia da Informacao Ltda. - ME;Piracicaba
R4F Tecnologia em Telecomunicacões Ltda;Campinas
In Vitro Brasil Ltda;Mogi Mirim
Promip Comercio, Pesquisas e Desenvolvimento de Agentes Biologicos Ltda (PROMIP);Engenheiro Coelho
Eikonal do Brasil Instrumentos opticos e Cientificos Ltda;Sao Paulo
Dod Robos Investidores Eireli - ME;Sao Paulo
Partecurae Pesquisa e Desenvolvimento Ltda;Sao Carlos
Advance Solucões em Informatica Ltda;Hortolândia
Veritas Biotecnologia Ltda (VLS);Ribeirao Preto
Centro de Servicos e Materiais Cerâmicos Ltda;Sao Carlos
Carlstrom Engenharia Ltda;Artur Nogueira
TV On Demand Consultoria e Solucões S/S Ltda;Sao Paulo
Jose Luis Bertazzoli - ME;Americana
Genoa Solucões Ltda;Sao Paulo
ANS Pharma Consultoria Ltda;Paulinia
Versor Inovacao Tecnologica Ltda;Santo Andre
Donaire Consultoria Empresarial Ltda;Sao Paulo
Apis Flora Industrial e Comercial Ltda;Ribeirao Preto
Ecomol Consultoria e Projetos Ltda. - ME;Amparo
Intecmat Indústria e Tecnologia em Materiais Compostos Polimericos Ltda (InTecMat);Sao Carlos
Atmos Sistemas Ltda;Sao Paulo
INVITRA - Tecnologia da Reproducao Assistida Ltda;Ribeirao Preto
CEMSA - Centro de Espectrometria de Massas Aplicada Ltda;Sao Paulo
Salt Sea & Limno Technology Consultoria Ambiental Ltda;Sao Paulo
Pebay Informacao de Investimentos Eireli - ME;Sao Paulo
R4F Tecnologia em Telecomunicacões Ltda;Campinas
Zanetti e Mattei Informatica Ltda;Sao Paulo
Manoel Soares Neto Automacao Industrial - ME;Sao Paulo
Scheme Lab Propriedade Industrial S/S Ltda;Sao Paulo
Alchemy Inovacao, Pesquisa e Desenvolvimento Ltda;Santana de Parnaiba
Logtrac - Consultores Associados S/S Ltda;Sao Carlos
Medidores Meier & Giacaglia Ltda. - ME;Sao Carlos
Red, Orange and Green Tecnologias Ambientais Ltda;Sao Paulo
Brasil Ozonio Indústria e Comercio de Equipamentos e Sistemas S/A;Sao Paulo
Sollis Solucões Integradas à Saúde Ltda (SOLLIS);Sao Paulo
DMC Importacao e Exportacao de Equipamentos Ltda;Sao Carlos
Verdartis Desenvolvimento Biotecnologico Ltda. - ME;Ribeirao Preto
Opto Eletronica S/A;Sao Carlos
Fisher Piscicultura agua Vermelha Ltda;Riolândia
R M T Tage Biaggio - ME;Sao Jose dos Campos
Dspgeo Servicos em Engenharia Aplicada à Geofisica e Petroleo Ltda. - ME;Campinas
Imag Indústria e Comercio de Componentes Eletronicos Ltda (IMAG);Ribeirao Pires
Fit Comercio, Importacao e Exportacao de Maquinas e Equipamentos Odonto-Medicos Hospitalares e Laboratoriais Ltda;Sao Carlos
Empreende Plano de Negocio Treinamentos Ltda. - ME;Sao Paulo
Capataz - Estatores Motores e Geradores Eletricos Eireli - ME;Ribeirao Preto
LCR Kimera Biotecnologia Ltda;Ribeirao Preto
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;Sao Carlos
Atenatec Solucões Tecnologicas Ltda. - ME;Sao Carlos
Abrith Tecnologia em Saúde Ltda;Sao Paulo
Nano Separation Technologies Indústria, Comercio e Representacões Ltda;Sao Carlos
Solarmind Indústria e Comercio Ltda;Sao Manuel
Altave Indústria, Comercio e Exportacao de Aeronaves S/A;Sao Jose dos Campos
Fisioatual Comercio Atacadista e Equipamentos Medicos Hospitalares Ltda;Catanduva
Ablevision Sistemas Computacionais Ltda;Sao Carlos
Dnapta Biotecnologia Ltda;Sao Jose do Rio Preto
KNE Plast Indústria Comercio Ltda. - ME;Cotia
Algaetech Pesquisa Ltda. - ME;Sao Carlos
Green Technologies Projetos Agroindustriais S/C Ltda;Campinas
Pullup Solucões Sistemas Eletronicos Ltda;Sao Paulo
Scipopulis Desenvolvimento e Analise de Dados Ltda;Sao Paulo
Opusphere Desenvolvimento, Consultoria em Tecnologia da Informacao e Gestao de Processos Ltda;Campinas
SW2 Solucões em TI Ltda. - ME;Campinas
Labmass Laboratory  Laboratorio de Analise Quimica, Consultoria e Treinamento Ltda. - ME;Campinas
Inreservoir Solutions - Projetos e Pesquisas em Ciencias e Engenharia de Petroleo Ltda;Campinas
Solsticio Energia Comercio, Importacao e Exportacao Ltda;Campinas
Brascopter Projetos e Servicos Aeronauticos e Mecânicos Ltda;Sao Caetano do Sul
Nanophoton Ltda. - ME;Ribeirao Preto
Cis Biomoleculas Ltda. - ME;Carapicuiba
DMA Indústria e Tecnologia Eireli - EPP;Campinas
area Quimica Ltda;Sao Paulo
Inreservoir Solutions - Projetos e Pesquisas em Ciencias e Engenharia de Petroleo Ltda;Campinas
In Vitro Brasil Ltda;Mogi Mirim
Delta CO2 Assessoria e Consultoria Tecnico Sustentabilidade Ambiental Ltda;Piracicaba
Opto Eletronica S/A;Sao Carlos
Iti Inovacao em Tecnologia da Informacao Ltda;Sao Carlos
Elabora P&D, Computacao e Sistemas de Informatica Ltda;Campinas
PMEC Sistemas - Servicos de Inovacao Tecnologica Ltda;Araraquara
Revolugenix Biotecnologia, Pesquisa e Desenvolvimento Ltda;Sao Paulo
Glyom Pesquisas Tecnologicas em Glicerina Ltda;Taboao da Serra
E-Sense Biomedical Engineering Innovation Ltda. - ME;Campinas
Terra Azul Tecnologia de Polimeros Naturais Ltda;Limeira
TEC3GEO Geotecnologias para o Meio Ambiente Ltda. - ME;Sao Paulo
Centagro - Centro Tecnologico Agropecuario Ltda;Batatais
Areda e Escudeiro Ltda. - ME;Ribeirao Preto
Piaram Produtos Nanotecnologicos, Assessoria, Pesquisa e Desenvolvimento de Produtos e Processos Quimicos Ltda;Campinas
Binderware Ciencia e Tecnologia em Biomateriais Ltda. - EPP;Sao Carlos
Acen Microeletronica Ltda;Campinas
Spinnano Semicondutores Indústria e Comercio Ltda;Sao Carlos
Leona Indústria e Comercio de Materiais e Ligas Odontologicas e Medicas Ltda. - ME;Sao Bernardo do Campo
XMobots Aeroespacial e Defesa Ltda. - ME (XMobots);Sao Carlos
Onion Tecnologia Ltda. - ME;Sao Carlos
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME;Sao Paulo
Vivax Servicos Ltda;Sao Caetano do Sul
Celso Tomazin Junior;Piracicaba
Techduto Indústria e Comercio de Maquinas e Artefatos de Plasticos Ltda;Sao Jose dos Campos
Calil & Icimoto Madeiras Ltda;Sao Carlos
XMobots Aeroespacial e Defesa Ltda. - ME (XMobots);Sao Carlos
Mvisia Desenvolvimentos Inovadores Ltda;Sao Paulo
Acquest Geologia e Geofisica Subaquatica Ltda;Sao Paulo
Partecurae Pesquisa e Desenvolvimento Ltda;Sao Carlos
Fabio Nakashima e Outro;Mogi das Cruzes
Agromic Pesquisa, Producao e Comercio de Insumos Biologicos Ltda;Piracicaba
CFLEX Computacao Flexivel Aplicada Ltda;Campinas
Pullup Solucões Sistemas Eletronicos Ltda;Sao Paulo
Fermentec Assistencia Tecnica em Fermentacao Alcoolica Ltda;Piracicaba
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME;Sao Paulo
Limpgas Tecnologia em Descarte de Gases Industriais Ltda (Limpgas);Sao Paulo
Zuggi Tecnologia e Comercio Ltda. - ME;Indaiatuba
Doppia M Projetos Socioculturais e Servicos Administrativos Ltda;Sao Paulo
Time Energy Indústria e Comercio Eireli - EPP;Campinas
Promip Comercio, Pesquisas e Desenvolvimento de Agentes Biologicos Ltda (PROMIP);Engenheiro Coelho
In Gene Biotecnologia Ltda;Sao Paulo
Embriofert Clinica Medica Hospitalar Ltda;Sao Paulo
Dinamo Automacao Industrial Ltda;Piracicaba
Onset Tecnologia Ltda;Paraibuna
Tambora Engenharia de Materiais Metalicos e Industriais Ltda;Campinas
Ams Kleper Engenharia de Sistemas Ltda;Sao Jose dos Campos
Jetquimica Indústria e Comercio Ltda. - ME;Araraquara
Electric Dreams Engenharia da Mobilidade Ltda;Sao Jose dos Campos
Mobwise Consultoria em Engenharia e Softwares Ltda;Campinas
Nanox Tecnologia S/A;Sao Carlos
Florilegus Comercio e Servicos Ltda;Sao Paulo
Altave Indústria, Comercio e Exportacao de Aeronaves S/A;Sao Jose dos Campos
Mikro Metais Comercial Ltda;Sao Bernardo do Campo
Mmtech Projetos Tecnologicos Importacao e Exportacao Ltda;Sao Carlos
Red, Orange and Green Tecnologias Ambientais Ltda;Sao Paulo
Elabora Biosolutions Bioengenharia Bioprocessos e Inovacao Ltda;Campinas
Surface - Engenharia e Solucões a Plasma Ltda;Campinas
GRAUTEC PDI Servicos de Consultoria Farmaceuticas Ltda;Sao Paulo
Chemyunion Ltda;Sorocaba
DPR Engenharia Assessoria e Consultoria em Projetos da area Petrolifera Ltda;Campinas
Tagg Equipamentos e Servicos para Agroindústria, Agropecuaria e Meio Ambiente Ltda;Sao Carlos
Zuannon Projetos Visuais Ltda;Sao Paulo
Sppt Pesquisas Tecnologicas Ltda;Mogi Mirim
Apis Flora Industrial e Comercial Ltda;Ribeirao Preto
Inovacao Paulista Fundo de Investimento em Participacões;Sao Paulo
Synbeeosis Indústria e Comercio de Produtos Ambientais Ltda (Synbeeosis);Sao Carlos
Selsan Tecnologia Industrial e Comercial Ltda. - ME;Sorocaba
Wolff Biotec - Pesquisa e Desenvolvimento Ltda. - ME;Sao Paulo
Sysport Sistemas Aeroportuarios Ltda (SysPort);Sao Jose dos Campos
Tecplas Indústria e Comercio Ltda. - EPP;Sao Jose dos Campos
Espaco Forma e Projetos Ltda;Sao Jose dos Campos
Condor Instruments Ltda;Sao Paulo
Koppert do Brasil Holding Ltda (Koppert);Piracicaba
Chemyunion Ltda;Sorocaba
BCS Tecnologia e Servicos Ltda. - ME;Sao Paulo
In Vitro Brasil Ltda;Mogi Mirim
Ecomol Consultoria e Projetos Ltda. - ME;Amparo
Finamac Arpifrio Engenharia e Industrializacao de Equipamentos Industriais Ltda (Finamac);Santo Andre
Instrumentos Veterinarios Palhetas do Brasil Ltda;Sao Paulo
Bio & Green Indústria de Produtos Biodegradaveis Ltda;Sao Paulo
Top in Life Biotecnologia e Genetica Animal Ltda;Jaboticabal
Lasertools Tecnologia Ltda;Sao Paulo
Natural Products & Technologies Ltda. - ME;Rafard
Abili Assessoria Tecnica Comercial e Tecnologia da Informacao Ltda (Abili);Sao Paulo
CHEM4U Indústria e Comercio de Equipamento e Produtos Quimicos Ltda. - ME;Sao Paulo
Synbeeosis Indústria e Comercio de Produtos Ambientais Ltda (Synbeeosis);Sao Carlos
Maria Teresa P Egreja Camargo - ME;Dois Corregos
Victor Vision Indústria, Comercio, Importacao e Exportacao de Equipamentos Medicos Odontologicos Ltda;Sao Carlos
Laboratorio Biosintesis P & D do Brasil Ltda;Sao Paulo
Compsis Computadores Sistemas Indústria e Comercio Ltda;Sao Jose dos Campos
Pedro Siena Neto;Sao Carlos
Deoxi Biotecnologia Ltda;Aracatuba
Smartbio Desenvolvimento Tecnologico Ltda (Smartbio);Adamantina
Technomar Engenharia Ltda;Sao Paulo
BR Tecnologia em Bebidas Ltda;Sao Carlos
Dados & Cenarios Consultoria Ltda;Campinas
Salt Sea & Limno Technology Consultoria Ambiental Ltda;Sao Paulo
Directlight Indústria e Comercio de Produtos Eletroluminescentes Ltda;Sao Carlos
Mprojects Solucões em Informatica Ltda;Barueri
Farmacore Biotecnologia Ltda (FARMACORE);Sao Paulo
Multivacuo Aeroespacial Ltda;Sao Jose dos Campos
Keme Desenvolvimento e Comercio de Instrumentos Cientificos Ltda;Campinas
Dnapta Biotecnologia Ltda;Sao Jose do Rio Preto
Inprenha Biotecnologia e Desenvolvimento Animal Ltda;Jaboticabal
Verdaz Gestao Sustentavel e Consultoria Ambiental Ltda (Verdaz);Sao Jose do Rio Preto
Pergaminno Inovacao na Agricultura Ltda;Campinas
Geodez Consultoria em Cerâmica Ltda;Sao Carlos
Chemyunion Ltda;Sorocaba
Fermium Tecnologia Nuclear Ltda;Sao Paulo
Ecomenia Assessoria Socio Ambiental Ltda. - ME;Taboao da Serra
Apis Flora Industrial e Comercial Ltda;Ribeirao Preto
